suburb,postcode,state,dc,type,lat,lon
fawkner,3060,VIC,PRESTON DC,Delivery Area,-37.759823,144.89571
ferntree gully,3156,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.883019,145.295404
ferny creek,3786,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.881284,145.342274
fitzroy,3065,VIC,FITZROY DC,Delivery Area,-37.800917,144.979165
fitzroy north,3068,VIC,FITZROY DC,Delivery Area,-37.7834,144.98468799999998
flemington,3031,VIC,MOONEE PONDS DC,Delivery Area,-37.788375,144.93147199999999
footscray,3011,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.79977,144.89958700000003
forest hill,3131,VIC,NUNAWADING DC,Delivery Area,-37.834099,145.166527
frankston,3199,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.145001,145.122477
frankston north,3200,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.165002,145.188595
frankston south,3199,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.156538,145.123524
gardenvale,3185,VIC,ST KILDA DC,Delivery Area,-37.896915,145.005249
gladstone park,3043,VIC,NIDDRIE DC,Delivery Area,-37.68861,144.88362800000002
glen huntly,3163,VIC,BENTLEIGH EAST DC,Delivery Area,-37.889239,145.040629
glen iris,3146,VIC,BURWOOD DC,Delivery Area,-37.854687,145.067215
glen waverley,3150,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.877631,145.166222
glenroy,3046,VIC,PRESTON DC,Delivery Area,-37.704581,144.915758
gowanbrae,3043,VIC,NIDDRIE DC,Delivery Area,-37.706315999999994,144.89488500000002
greensborough,3088,VIC,BUNDOORA DC,Delivery Area,-37.704622,145.103024
hadfield,3046,VIC,PRESTON DC,Delivery Area,-37.707238000000004,144.93832
hallam,3803,VIC,DANDENONG DC,Delivery Area,-38.004302,145.269261
hampton east,3188,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.933603000000005,145.034175
hampton park,3976,VIC,CRANBOURNE DC,Delivery Area,-38.032221,145.26786299999998
hawthorn,3122,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.834855,145.052097
hawthorn east,3123,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.782253999999995,145.001811
heatherton,3202,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.969954,145.21416399999998
heathmont,3135,VIC,MOOROOLBARK DC,Delivery Area,-37.830334,145.244356
heidelberg,3084,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.756341,145.06714499999998
heidelberg heights,3081,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.742268,145.048873
heidelberg west,3081,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.74944,145.0414
highett,3190,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.947848,145.034294
hillside,3037,VIC,ST ALBANS DC,Delivery Area,-37.691437,144.74002
hillside,3875,VIC,BAIRNSDALE,Delivery Area,-37.830936,147.47059099999998
hoppers crossing,3029,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.882636,144.700297
hughesdale,3166,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.895763,145.07654499999998
huntingdale,3166,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.909347,145.103841
hurstbridge,3099,VIC,DIAMOND CREEK DC,Delivery Area,-37.640166,145.192477
ivanhoe,3079,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.76964,145.041425
ivanhoe east,3079,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.77283,145.059401
jacana,3047,VIC,SOMERTON DC,Delivery Area,-37.690301,144.915729
junction village,3977,VIC,CRANBOURNE DC,Delivery Area,-38.138435,145.29407700000002
kallista,3791,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.900585,145.410171
kalorama,3766,VIC,MOOROOLBARK DC,Delivery Area,-37.816839,145.367371
kealba,3021,VIC,ST ALBANS DC,Delivery Area,-37.742331,144.825918
keilor,3036,VIC,NIDDRIE DC,Delivery Area,-37.718965000000004,144.83416599999998
keilor downs,3038,VIC,ST ALBANS DC,Delivery Area,-37.725726,144.811346
keilor east,3033,VIC,NIDDRIE DC,Delivery Area,-37.736264,144.796336
keilor lodge,3038,VIC,ST ALBANS DC,Delivery Area,-37.695768,144.797032
keilor park,3042,VIC,NIDDRIE DC,Delivery Area,-37.72465,144.850373
kensington,3031,VIC,MOONEE PONDS DC,Delivery Area,-37.794333,144.929217
kew,3101,VIC,DEEPDENE DC,Delivery Area,-37.797982,145.053727
kew east,3102,VIC,DEEPDENE DC,Delivery Area,-37.796246000000004,145.049017
keysborough,3173,VIC,BRAESIDE DC,Delivery Area,-37.989707,145.14903700000002
kilsyth,3137,VIC,MOOROOLBARK DC,Delivery Area,-37.802304,145.312198
kilsyth south,3137,VIC,MOOROOLBARK DC,Delivery Area,-37.829539000000004,145.302768
kingsbury,3083,VIC,BUNDOORA DC,Delivery Area,-37.714064,145.035103
kings park,3021,VIC,ST ALBANS DC,Delivery Area,-37.734277,144.780872
kingsville,3012,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.812635,144.881803
kooyong,3144,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.840702,145.032101
knoxfield,3180,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.888895,145.24838300000002
lalor,3075,VIC,EPPING DC,Delivery Area,-37.665857,145.017194
langwarrin,3910,VIC,CRANBOURNE DC,Delivery Area,-38.153809,145.185851
langwarrin south,3911,VIC,BAXTER DELIVERY ANNEXE,Delivery Area,-38.198507,145.182526
laverton,3028,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.866939,144.761748
lilydale,3140,VIC,MOOROOLBARK DC,Delivery Area,-37.755519,145.347707
lower plenty,3093,VIC,BUNDOORA DC,Delivery Area,-37.730758,145.08811799999998
lynbrook,3975,VIC,CRANBOURNE DC,Delivery Area,-38.050457,145.257531
lyndhurst,3975,VIC,CRANBOURNE DC,Delivery Area,-38.053275,145.244343
lysterfield south,3156,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.927092,145.291015
macleod,3085,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.726038,145.068457
maidstone,3012,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.782096,144.874299
malvern,3144,VIC,HAWTHORN DELIVERY CENTRE,Delivery Area,-37.861427,145.02850800000002
malvern east,3145,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.878370000000004,145.067892
maribyrnong,3032,VIC,MOONEE PONDS DC,Delivery Area,-37.772228999999996,144.886116
mckinnon,3204,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.910967,145.037483
meadow heights,3048,VIC,SOMERTON DC,Delivery Area,-37.64986,144.922104
melbourne,3000,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.814563,144.97026699999998
melbourne,3004,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.837324,144.976335
mentone,3194,VIC,BRAESIDE DC,Delivery Area,-37.982859000000005,145.0649
middle park,3206,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.849721,144.965136
mill park,3082,VIC,EPPING DC,Delivery Area,-37.667957,145.060693
mitcham,3132,VIC,NUNAWADING DC,Delivery Area,-37.816878,145.193712
mont albert,3127,VIC,BOX HILL DC,Delivery Area,-37.821232,145.104996
mont albert north,3129,VIC,BOX HILL DC,Delivery Area,-37.807247,145.11205
montmorency,3094,VIC,BUNDOORA DC,Delivery Area,-37.715294,145.12158300000002
montrose,3765,VIC,MOOROOLBARK DC,Delivery Area,-37.805976,145.33951399999998
moonee ponds,3039,VIC,MOONEE PONDS DC,Delivery Area,-37.765707,144.919163
moorabbin,3189,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.934352000000004,145.03673500000002
mooroolbark,3138,VIC,MOOROOLBARK DC,Delivery Area,-37.774337,145.32995400000001
mordialloc,3195,VIC,BRAESIDE DC,Delivery Area,-38.007154,145.086849
mount dandenong,3767,VIC,MOOROOLBARK DC,Delivery Area,-37.835062,145.357831
mount evelyn,3796,VIC,MOOROOLBARK DC,Delivery Area,-37.792515,145.375605
mount waverley,3149,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.875273,145.128398
mulgrave,3170,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.869611,145.10286599999998
murrumbeena,3163,VIC,BENTLEIGH EAST DC,Delivery Area,-37.89069,145.067589
narre warren,3805,VIC,NARRE WARREN DC,Delivery Area,-38.026383,145.30693300000001
narre warren north,3804,VIC,NARRE WARREN DC,Delivery Area,-37.981131,145.315271
narre warren south,3805,VIC,NARRE WARREN DC,Delivery Area,-38.050061,145.298191
newport,3015,VIC,NEWPORT DC,Delivery Area,-37.842477,144.88314499999998
niddrie,3042,VIC,NIDDRIE DC,Delivery Area,-37.736031,144.889072
noble park,3174,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.967254,145.176167
noble park north,3174,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.9547,145.192117
north melbourne,3051,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.905996,145.056254
north warrandyte,3113,VIC,MOOROOLBARK DC,Delivery Area,-37.731758,145.221282
northcote,3070,VIC,PRESTON DC,Delivery Area,-37.769857,144.995276
notting hill,3168,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.901596000000005,145.145776
nunawading,3131,VIC,NUNAWADING DC,Delivery Area,-37.820037,145.175726
oak park,3046,VIC,PRESTON DC,Delivery Area,-37.71817,144.919959
oakleigh,3166,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.899854,145.08711599999998
oakleigh east,3166,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.900071000000004,145.105574
oakleigh south,3167,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.926986,145.0964
ormond,3204,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.904059000000004,145.040899
park orchards,3114,VIC,MOOROOLBARK DC,Delivery Area,-37.778442,145.214586
parkdale,3195,VIC,BRAESIDE DC,Delivery Area,-37.992659,145.075479
parkville,3052,VIC,CARLTON DC,Delivery Area,-37.788531,144.947731
pascoe vale,3044,VIC,PRESTON DC,Delivery Area,-37.727568,144.939122
pascoe vale south,3044,VIC,PRESTON DC,Delivery Area,-37.739197999999995,144.945722
patterson lakes,3197,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.067368,145.14476200000001
point cook,3030,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.914615999999995,144.751038
port melbourne,3207,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.975682,145.03046799999998
prahran,3181,VIC,RICHMOND DC,Delivery Area,-37.849577000000004,144.99371399999998
preston,3072,VIC,PRESTON DC,Delivery Area,-37.738735999999996,145.00051499999998
princes hill,3054,VIC,CARLTON DC,Delivery Area,-37.780995000000004,144.96279199999998
research,3095,VIC,RESEARCH DELIVERY CENTRE,Delivery Area,-37.703602000000004,145.18063600000002
reservoir,3073,VIC,PRESTON DC,Delivery Area,-37.716896999999996,145.00698500000001
richmond,3121,VIC,RICHMOND DC,Delivery Area,-37.818587,144.999181
ringwood,3134,VIC,MOOROOLBARK DC,Delivery Area,-37.81402,145.227362
ringwood north,3134,VIC,MOOROOLBARK DC,Delivery Area,-37.787064,145.2356
ripponlea,3185,VIC,ST KILDA DC,Delivery Area,-37.876692,144.996194
rosanna,3084,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.742893,145.065044
rowville,3178,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.928005,145.235811
roxburgh park,3064,VIC,SOMERTON DC,Delivery Area,-37.636795,144.932604
sandhurst,3977,VIC,CRANBOURNE DC,Delivery Area,-38.080718,145.20951100000002
sandringham,3191,VIC,MOORABBIN DELIVERY CENTRE,Delivery Area,-37.952493,145.012316
sassafras,3787,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.876027,145.36695
scoresby,3179,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.864883,145.26426999999998
seabrook,3028,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.877626,144.75777
seaford,3198,VIC,SEAFORD DELIVERY CENTRE,Delivery Area,-38.110191,145.142512
seaholme,3018,VIC,NEWPORT DC,Delivery Area,-37.867992,144.84360900000001
seddon,3011,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.808769,144.895486
selby,3159,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.915182,145.372016
sherbrooke,3789,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.883736999999996,145.364031
skye,3977,VIC,CRANBOURNE DC,Delivery Area,-38.1183,145.203099
south kingsville,3015,VIC,NEWPORT DC,Delivery Area,-37.833627,144.87074199999998
south melbourne,3205,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.93291,145.033718
south morang,3752,VIC,MORANG SOUTH,Delivery Area,-37.653074,145.095043
south yarra,3141,VIC,RICHMOND DC,Delivery Area,-37.837883000000005,144.991123
southbank,3006,VIC,SOUTH MELBOURNE DC,Delivery Area,-37.823258,144.965926
spotswood,3015,VIC,NEWPORT DC,Delivery Area,-37.82967,144.885078
springvale,3171,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.97103,145.148499
springvale south,3172,VIC,BRAESIDE DC,Delivery Area,-37.97103,145.148499
st albans,3021,VIC,ST ALBANS DC,Delivery Area,-37.745063,144.799626
st kilda,3182,VIC,ST KILDA DC,Delivery Area,-37.867573,144.978814
st kilda east,3183,VIC,ST KILDA DC,Delivery Area,-37.866458,145.000047
st kilda west,3182,VIC,ST KILDA DC,Delivery Area,-37.860901,144.972523
strathmore,3041,VIC,MOONEE PONDS DC,Delivery Area,-37.735876,144.919176
strathmore heights,3041,VIC,MOONEE PONDS DC,Delivery Area,-37.716678,144.897568
sunshine north,3020,VIC,SUNSHINE DC,Delivery Area,-37.768904,144.83025800000001
surrey hills,3127,VIC,BOX HILL DC,Delivery Area,-37.825077,145.09741200000002
sydenham,3037,VIC,ST ALBANS DC,Delivery Area,-37.70004,144.764617
taylors hill,3037,VIC,ST ALBANS DC,Delivery Area,-37.710381,144.76679099999998
taylors lakes,3038,VIC,ST ALBANS DC,Delivery Area,-37.698758000000005,144.78766000000002
tecoma,3160,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.906626,145.343987
templestowe,3106,VIC,TEMPLESTOWE DC,Delivery Area,-37.768882,145.117873
templestowe lower,3107,VIC,TEMPLESTOWE DC,Delivery Area,-37.7563,145.102997
the basin,3154,VIC,BAYSWATER DC,Delivery Area,-37.851467,145.30713300000002
the patch,3792,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.887353000000004,145.392574
thomastown,3074,VIC,EPPING DC,Delivery Area,-37.680338,145.01428700000002
thornbury,3071,VIC,PRESTON DC,Delivery Area,-37.75504,144.99858899999998
toorak,3142,VIC,RICHMOND DC,Delivery Area,-37.84216,145.017966
travancore,3032,VIC,MOONEE PONDS DC,Delivery Area,-37.777772999999996,144.929915
tullamarine,3043,VIC,NIDDRIE DC,Delivery Area,-37.68656,144.882698
upper ferntree gully,3156,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.893513,145.310777
upwey,3158,VIC,BELGRAVE DELIVERY CENTRE,Delivery Area,-37.903672,145.33131
vermont,3133,VIC,NUNAWADING DC,Delivery Area,-37.836234999999995,145.194651
vermont south,3133,VIC,NUNAWADING DC,Delivery Area,-37.856646999999995,145.183576
viewbank,3084,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.739262,145.096424
wandin north,3139,VIC,WANDIN NORTH,Delivery Area,-37.771838,145.414182
wantirna,3152,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.847915,145.228757
wantirna south,3152,VIC,FERNTREE GULLY DELIVERY CENTRE,Delivery Area,-37.868978999999996,145.23521100000002
warrandyte,3113,VIC,MOOROOLBARK DC,Delivery Area,-37.736915,145.22314
warranwood,3134,VIC,MOOROOLBARK DC,Delivery Area,-37.774017,145.2483
waterways,3195,VIC,BRAESIDE DC,Delivery Area,-38.008051,145.11047299999998
watsonia,3087,VIC,BUNDOORA DC,Delivery Area,-37.712531,145.082098
watsonia north,3087,VIC,BUNDOORA DC,Delivery Area,-37.698352,145.084586
werribee,3030,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,-37.903337,144.657731
west footscray,3012,VIC,WEST FOOTSCRAY DC,Delivery Area,-37.797701,144.879924
west melbourne,3003,VIC,CITY DELIVERY CENTRE,Delivery Area,-37.806255,144.941123
westmeadows,3049,VIC,SOMERTON DC,Delivery Area,-37.673551,144.90086000000002
wheelers hill,3150,VIC,MOUNT WAVERLEY MDC (NEW),Delivery Area,-37.909349,145.188659
williamstown,3016,VIC,NEWPORT DC,Delivery Area,-37.856902000000005,144.897698
williamstown north,3016,VIC,NEWPORT DC,Delivery Area,-37.857681,144.88704099999998
windsor,3181,VIC,RICHMOND DC,Delivery Area,-37.856159000000005,144.9922
yallambie,3085,VIC,HEIDELBERG WEST DEL CENTRE,Delivery Area,-37.727482,145.10230900000002
